area,area_code,year,agricultural_use,export_quantity,import_quantity,production
Romania,183,2010,189088,664806.62,47972.37,806355
Russia,185,2021,0,7005826.8,6844.29,8994100
Rwanda,184,2010,78,77.7,383.29,0
St. Kitts & Nevis,188,2008,8,0,7.5,0
St. Vincent & Grenadines,191,2021,0,0,0.44,0
San Marino,192,2019,0,0,5.61,0
São Tomé & Príncipe,193,2021,0,0,32.38,0
Saudi Arabia,194,2021,311000,3244364.97,127.3,4366200
Senegal,195,2020,20650,8328.6,76653.42,0
Serbia,272,2011,128813,5097.84,86974.65,53185
Seychelles,196,2010,7.35,0,29,0
Sierra Leone,197,2014,0,0,704.87,0
Singapore,200,2011,4254,1630.91,5885.35,0
Slovakia,199,2021,92058.66,246518.53,223500.12,0
Slovenia,198,2014,12851,6201.83,34259.7,0
Solomon Islands,25,2021,0,0,21,0
Somalia,201,2010,0,417.58,627.52,0
South Africa,202,2011,751527,42582.52,773937.73,0
South Sudan,277,2021,0,0,126.51,0
Spain,203,2005,464630,85978.97,451173.07,357483
Sri Lanka,38,2021,221634.03,0.06,161627,0
Sudan,276,2014,0,0,47537.23,0
Suriname,207,2006,13972,10,12597.53,0
Sweden,210,2014,283,12486.87,96841.19,0
Switzerland,211,2021,16827.14,116.51,99442.34,0
Syria,212,2011,219262,71011.47,21773.47,269000
Thailand,216,2015,1865722,29297.26,2044103.97,0
Timor-Leste,176,2017,0,0,2.96,0
Togo,217,2019,3711.1,1125,17831.32,0
Trinidad & Tobago,220,2010,33049,553376.11,0,708760
Tunisia,222,2016,3705.76,20.21,3725.97,0
Turkey,223,2021,1774950,38012.02,2497510.48,520469
Turkmenistan,213,2021,0,748271.57,45.18,0
Tuvalu,227,2021,0,0,6,0
Uganda,226,2010,6478,0.5,6477.76,0
Ukraine,230,2021,698423,1214645.79,275298.88,2066700
United Arab Emirates,225,2016,24477,1851852.32,13356.43,1954000
United Kingdom,229,2005,188500,20845,606311.3,0
Tanzania,215,2016,114105.3,18154.47,138572.93,0
United States,231,2021,6545391.06,312831.37,6268101,6019232.51
Uruguay,234,2018,254735,800,246354.24,0
Uzbekistan,235,2021,0,224392.04,597,465597
Vanuatu,155,2020,0,0,0.03,0
Venezuela,236,2015,349742.58,447028.32,2,879102
Vietnam,237,2011,1381043.34,749433.93,1127477.29,1002887
Yemen,249,2009,30000,0.96,36646.13,0
Zambia,251,2021,189248.67,20,221944.7,0
Zimbabwe,181,2011,12283,4434,12222.89,0
